Name of the school,Addition,Subtraction,Multiplication,Division
GHPS KANNADA GIRLS YALIWAL,1,1,1,0
GHPS KANNADA GIRLS YALIWAL,0,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,0,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,0,0,1
GHPS KANNADA GIRLS YALIWAL,1,1,0,1
GHPS KANNADA GIRLS YALIWAL,1,1,0,0
GHPS KANNADA GIRLS YALIWAL,1,1,0,0
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,0,0
GHPS KANNADA GIRLS YALIWAL,1,0,1,1
GHPS KANNADA GIRLS YALIWAL,1,0,0,0
GHPS KANNADA GIRLS YALIWAL,0,0,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,0,1
GHPS KANNADA GIRLS YALIWAL,1,0,0,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,0
GHPS KANNADA GIRLS YALIWAL,0,0,0,0
GHPS KANNADA GIRLS YALIWAL,1,1,1,0
GHPS KANNADA GIRLS YALIWAL,1,1,1,0
GHPS KANNADA GIRLS YALIWAL,0,0,0,0
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,0,0,0
GHPS KANNADA GIRLS YALIWAL,1,1,1,0
GHPS KANNADA GIRLS YALIWAL,1,1,0,0
GHPS KANNADA GIRLS YALIWAL,1,1,0,0
GHPS KANNADA GIRLS YALIWAL,1,1,1,1
GHPS KANNADA GIRLS YALIWAL,1,1,1,0
GLPS (SWS) UTHANOOR,1,1,1,1
GLPS (SWS) UTHANOOR,1,1,1,0
GLPS (SWS) UTHANOOR,1,1,1,0
GLPS (SWS) UTHANOOR,1,1,1,0
GLPS (SWS) UTHANOOR,1,1,1,1
GLPS (SWS) UTHANOOR,1,1,0,1
GLPS (SWS) UTHANOOR,1,1,1,1
GLPS (SWS) UTHANOOR,1,1,1,1
GLPS (SWS) UTHANOOR,1,1,1,1
GLPS (SWS) UTHANOOR,1,1,0,1
GHPS UTHANOOR,1,1,1,1
GHPS UTHANOOR,1,1,1,1
GHPS UTHANOOR,1,1,1,1
GHPS UTHANOOR,1,1,1,1
GHPS UTHANOOR,1,1,1,1
GHPS UTHANOOR,1,0,1,0
GHPS UTHANOOR,1,1,1,1
GHPS UTHANOOR,1,0,1,1
GHPS UTHANOOR,1,1,0,0
GHPS UTHANOOR,1,0,1,1
GHPS UTHANOOR,1,0,1,0
GHPS UTHANOOR,1,0,1,0
GHPS UTHANOOR,1,0,0,0
GHPS UTHANOOR,1,1,1,1
